merchant,public_category,root,mid_level,leaf
Føtex,Supermarket Chain,Expense,Food & Dining,Groceries
G-Star Raw,Denim & Fashion (Netherlands),Expense,Shopping,Clothing & Apparel
Gail's Bakery,Artisan Bakery (London),Expense,Food & Dining,Bakery & Desserts
Galaxy Tab,Tablet (Samsung),Expense,Shopping,Electronics
Galeries Lafayette,Department Store (France),Expense,Shopping,General Retail
Galito's,Flame-Grilled Chicken,Expense,Food & Dining,Fast Food
Galp,Gas Station (Portugal),Expense,Transportation,Gas & Fuel
GAME,Video Game Retailer (UK),Expense,Entertainment,Gaming
Game Stores,Hypermarket,Expense,Food & Dining,Groceries
Gamers Gate,Digital Game Retailer,Expense,Entertainment,Gaming
GameStop,Video Game Retailer,Expense,Shopping,Electronics
Ganni,Contemporary Fashion (Denmark),Expense,Shopping,Clothing & Apparel
Gap,Casual Apparel,Expense,Shopping,Clothing & Apparel
Garden of Eden,Specialty Market,Expense,Food & Dining,Groceries
Garden of Life,Organic Supplements,Expense,Health & Wellness,Health Products
Gardener's Supply,Garden Retailer,Expense,Shopping,Home & Garden
Garmin,GPS & Fitness Watches,Expense,Shopping,Clothing & Apparel
Garmin Connect,Fitness Tracking,Expense,Entertainment,Sports & Recreation
Garrett Popcorn,Gourmet Popcorn,Expense,Food & Dining,Snacks & Drinks
Garuda Indonesia,Airline (Indonesia),Expense,Travel,Airlines
Gaslight Coffee,Coffee (Chicago),Expense,Food & Dining,Coffee & Tea
Gather,Virtual Office,Expense,Technology,Software & SaaS
Gaucho,Argentine Steakhouse (UK),Expense,Food & Dining,Restaurants
Gaumont,Movie Theater (France),Expense,Entertainment,Movies & Events
Gazpromneft,Gas Station (Russia),Expense,Transportation,Gas & Fuel
GBK (Gourmet Burger Kitchen),Burger Restaurant (UK),Expense,Food & Dining,Restaurants
GeForce Now,Cloud Gaming,Expense,Entertainment,Gaming
Geico,Auto Insurance,Expense,Housing & Utilities,Utilities
Gelateria Otaleg,Artisan Gelato (Italy),Expense,Food & Dining,Ice Cream & Yogurt
Gelatissimo,Gelato Chain (Australia),Expense,Food & Dining,Ice Cream & Yogurt
Gelato Messina,Gelato (Australia),Expense,Food & Dining,Ice Cream & Yogurt
Gelson's,Premium Supermarket,Expense,Food & Dining,Groceries
Gelsons,Premium Supermarket (CA),Expense,Food & Dining,Groceries
Gen Korean BBQ,Korean BBQ,Expense,Food & Dining,Restaurants
Generator Hostels,Design Hostel Chain,Expense,Travel,Hotels & Lodging
Genki Sushi,Conveyor Belt Sushi,Expense,Food & Dining,Restaurants
George Howell Coffee,Specialty Coffee,Expense,Food & Dining,Coffee & Tea
Georgetown Cupcake,Cupcake Bakery,Expense,Food & Dining,Bakery & Desserts
Georgia Aquarium,Aquarium,Expense,Entertainment,Amusement & Parks
Georgia Power,Electric Utility,Expense,Housing & Utilities,Utilities
Gerber Collision,Auto Body Repair,Expense,Transportation,Car Service & Parts
Gerry Weber,Women's Fashion (Germany),Expense,Shopping,Clothing & Apparel
Getaround,Peer-to-Peer Car Sharing,Expense,Travel,Hotels & Lodging
GetGo,Convenience Store & Gas,Expense,Food & Dining,Groceries
GetGo Gas,Convenience Store Gas,Expense,Transportation,Gas & Fuel
Getir,Instant Grocery Delivery,Expense,Food & Dining,Food Delivery
Gett,Ride-Hailing (Israel/UK),Expense,Transportation,Rideshare
Ghirardelli,Chocolate Company,Expense,Food & Dining,Snacks & Drinks
Ghost,Publishing Platform,Expense,Technology,Software & SaaS
Giant,Supermarket,Expense,Food & Dining,Groceries
Giant Eagle,Supermarket,Expense,Food & Dining,Groceries
Giant Singapore,Hypermarket,Expense,Food & Dining,Groceries
Giggling Squid,Thai Restaurant (UK),Expense,Food & Dining,Restaurants
Ginos,Italian Restaurant (Spain),Expense,Food & Dining,Restaurants
Giordano's,Deep Dish Pizza (Chicago),Expense,Food & Dining,Restaurants
Giraffas,Fast Casual (Brazil),Expense,Food & Dining,Restaurants
Giraffe,World Food Restaurant (UK),Expense,Food & Dining,Restaurants
Girl Scouts,Youth Organization,Expense,Donations & Gifts,Charity & Donations
Girlfriend Collective,Sustainable Activewear,Expense,Shopping,Sporting Goods
GitHub,Code Hosting & Collaboration,Expense,Technology,Software & SaaS
GitLab,DevOps Platform,Expense,Technology,Software & SaaS
Give.org,Charity Verification,Expense,Donations & Gifts,Charity & Donations
GiveDirectly,Cash Transfer Charity,Expense,Donations & Gifts,Charity & Donations
Givenchy,Luxury Fashion (France),Expense,Shopping,Clothing & Apparel
Gjusta,"Bakery & Deli (Venice, CA)",Expense,Food & Dining,Bakery & Desserts
Glassdoor,Job & Company Reviews,Expense,Technology,Software & SaaS
Glide,No-Code App Builder,Expense,Technology,Software & SaaS
GlobalGiving,International Charity,Expense,Donations & Gifts,Charity & Donations
Globus,Hypermarket,Expense,Food & Dining,Groceries
Gloria Jean's,Coffee Chain (Australia),Expense,Food & Dining,Coffee & Tea
Glossier,DTC Beauty Brand,Expense,Health & Wellness,Beauty & Spa
Glovo,Multi-Category Delivery (EU),Expense,Food & Dining,Food Delivery
Gmarket,Online Marketplace (Korea),Expense,Shopping,General Retail
GMMK,Custom Mechanical Keyboards,Expense,Shopping,Electronics
GNC,Vitamins & Supplements Retailer,Expense,Health & Wellness,Health Products
Go! Go! Curry,Japanese Curry,Expense,Food & Dining,Restaurants
GOAT,Sneaker Marketplace,Expense,Shopping,General Retail
GoDaddy,Domain & Web Hosting,Expense,Technology,Software & SaaS
Goddard School,Preschool,Expense,Education,Online Learning
Godfather's Pizza,Pizza Chain,Expense,Food & Dining,Restaurants
Godiva,Premium Chocolate,Expense,Food & Dining,Snacks & Drinks
Godiva Chocolatier,Luxury Chocolate,Expense,Food & Dining,Snacks & Drinks
GoFundMe,Crowdfunding Platform,Expense,Donations & Gifts,Charity & Donations
GOG.com,DRM-Free Game Store,Expense,Entertainment,Gaming
Goiko,Gourmet Burger (Spain),Expense,Food & Dining,Restaurants
Gojek,Ride-Hailing (Indonesia),Expense,Transportation,Rideshare
Gold's Gym,Gym & Fitness Club,Expense,Entertainment,Sports & Recreation
Gold's Gym India,Gym (India),Expense,Entertainment,Sports & Recreation
Golden 1 Credit Union,Credit Union,Expense,Financial Services,Banking Fees
Golden Artist Colors,Acrylic Paint,Expense,Shopping,Office Supplies
Golden Chick,Fast Food Chicken,Expense,Food & Dining,Fast Food
Golden Corral,Buffet Restaurant,Expense,Food & Dining,Restaurants
Golden Goose,Luxury Sneakers (Italy),Expense,Shopping,Clothing & Apparel
Golden Village,Movie Theater (Singapore),Expense,Entertainment,Movies & Events
Goldman Sachs AM,Asset Management,Expense,Financial Services,Banking Fees
Goldman Sachs Marcus,Online Savings,Expense,Financial Services,Banking Fees
Golf Galaxy,Golf Retailer,Expense,Shopping,Sporting Goods
GolfNow,Tee Time Booking,Expense,Entertainment,Sports & Recreation
Gong Cha,Bubble Tea Chain,Expense,Food & Dining,Coffee & Tea
Gongcha Korea,Bubble Tea (Korea),Expense,Food & Dining,Restaurants
Gontran Cherrier,French Bakery,Expense,Food & Dining,Bakery & Desserts
Goobne Chicken,Oven-Roasted Chicken (Korea),Expense,Food & Dining,Restaurants
Good Fortune,Chinese Grocery,Expense,Food & Dining,Groceries
Good Fortune Supermarket,Chinese Supermarket,Expense,Food & Dining,Groceries
Good To Go!,Washington Toll,Expense,Transportation,Public Transit
GoodLife Fitness,Gym Chain (Canada),Expense,Entertainment,Sports & Recreation
GoodRx,Prescription Discount,Expense,Health & Wellness,Pharmacy
Goodwill,Thrift & Workforce Dev,Expense,Donations & Gifts,Charity & Donations
Goodyear Auto Service,Tire & Auto Service,Expense,Transportation,Car Service & Parts
Google Cloud,Cloud Computing,Expense,Technology,Software & SaaS
Google Fi,MVNO (Google),Expense,Housing & Utilities,Utilities
Google Fiber,Fiber Internet,Expense,Housing & Utilities,Utilities
Google Meet,Video Conferencing,Expense,Technology,Software & SaaS
Google Nest WiFi,Mesh WiFi,Expense,Shopping,Electronics
Google One,Google Cloud Storage,Expense,Food & Dining,Restaurants
Google Pixel,Smartphone,Expense,Shopping,Electronics
Google Play Books,E-Book Store,Expense,Shopping,Books & Media
Google Workspace,Productivity Suite,Expense,Technology,Software & SaaS
GoPay,Digital Payment (Indonesia),Expense,Financial Services,Banking Fees
GoPro,Action Camera,Expense,Shopping,Electronics
Gopuff,Instant Delivery Platform,Expense,Food & Dining,Food Delivery
goPuff,Instant Delivery Platform,Expense,Food & Dining,Food Delivery
Gorillas,Instant Grocery Delivery,Expense,Food & Dining,Food Delivery
Goruck,Rucking Gear & Apparel,Expense,Shopping,Clothing & Apparel
Gourmet Garage,Specialty Market (NYC),Expense,Food & Dining,Groceries
Grab,Ride-Hailing (SE Asia),Expense,Transportation,Rideshare
Grab Financial,Digital Finance (Asia),Expense,Financial Services,Banking Fees
Grab Food,Food Delivery (SE Asia),Expense,Food & Dining,Food Delivery
Graco,Baby Products,Expense,Kids & Family,Toys & Activities
Graduate Hotels,College-Town Boutique,Expense,Travel,Hotels & Lodging
Graeter's,Premium Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Grailed,Menswear Resale,Expense,Shopping,Clothing & Apparel
Grammarly,AI Writing Assistant,Expense,Technology,Software & SaaS
Grand Hyatt,Luxury Hotel,Expense,Travel,Hotels & Lodging
Grease Monkey,Oil Change & Auto,Expense,Transportation,Car Service & Parts
Great Adventure,Amusement Park,Expense,Entertainment,Amusement & Parks
Great American Cookies,Cookie Chain,Expense,Food & Dining,Snacks & Drinks
Great Clips,Hair Salon Chain,Expense,Health & Wellness,Beauty & Spa
Great Harvest Bread,Bakery Chain,Expense,Food & Dining,Bakery & Desserts
Great Wall Supermarket,Chinese Supermarket,Expense,Food & Dining,Groceries
Great Wolf Lodge,Indoor Water Park Resort,Expense,Entertainment,Amusement & Parks
Green Burrito,Fast Food Mexican,Expense,Food & Dining,Fast Food
Green Chef,Organic Meal Kit,Expense,Food & Dining,Restaurants
Greenpeace,Environmental Org,Expense,Donations & Gifts,Charity & Donations
Greggs,Bakery & Fast Food (UK),Expense,Food & Dining,Fast Food
Gregory,Backpacks,Expense,Shopping,Sporting Goods
Gregorys Coffee,Coffee Chain,Expense,Food & Dining,Coffee & Tea
Grill'd,Burger Restaurant (Australia),Expense,Food & Dining,Restaurants
Grimaldi's,Coal-Fired Pizza (NYC),Expense,Food & Dining,Restaurants
Grimm's,Wooden Toys (Germany),Expense,Kids & Family,Toys & Activities
Gristedes,Supermarket,Expense,Food & Dining,Groceries
Grocery Outlet,Discount Grocery,Expense,Food & Dining,Groceries
Grofers,Online Grocery Delivery,Expense,Food & Dining,Groceries
Grom,Italian Gelato & Pastry,Expense,Food & Dining,Bakery & Desserts
Groupon,Online Deals & Coupons,Expense,Shopping,General Retail
Grubhub,Food Delivery Platform,Expense,Food & Dining,Food Delivery
GrubHub+,Delivery Subscription,Expense,Food & Dining,Restaurants
Grupo Alsea,Multi-Brand Fast Food (Mexico),Expense,Food & Dining,Fast Food
Grupo Éxito,Hypermarket Chain,Expense,Food & Dining,Groceries
GS Caltex,Gas Station (Korea),Expense,Transportation,Gas & Fuel
GS25,Convenience Store Chain,Expense,Food & Dining,Groceries
GSI Outdoors,Camping Cookware,Expense,Shopping,Sporting Goods
GU,"Fast Fashion (Japan, Uniqlo Group)",Expense,Shopping,Clothing & Apparel
Guardian Life,Insurance,Expense,Financial Services,Banking Fees
Guardian Pharmacy,Pharmacy (Asia),Expense,Health & Wellness,Pharmacy
Gucci,Luxury Fashion House,Expense,Shopping,Clothing & Apparel
Guess,Fashion Apparel & Accessories,Expense,Shopping,Clothing & Apparel
Guggenheim,Art Museum,Expense,Entertainment,Movies & Events
Guitar Center Lessons,Music Lessons,Expense,Education,Online Learning
Gusto,Family Restaurant (Japan),Expense,Food & Dining,Restaurants
Gusto Payroll,Payroll Processing,Income,Transfers,Deposit
Guzman y Gomez,Fast Casual Mexican (AU),Expense,Food & Dining,Fast Food
Gymboree,Children's Clothing,Expense,Shopping,Clothing & Apparel
Gymboree Play & Music,Early Childhood,Expense,Education,Online Learning
Gymkhana,Indian Fine Dining (UK),Expense,Food & Dining,Restaurants
Gymshark,Fitness Apparel (UK),Expense,Shopping,Clothing & Apparel
Gyu-Kaku,Japanese BBQ Restaurant,Expense,Food & Dining,Restaurants
H Mart,Korean Grocery Store,Expense,Food & Dining,Groceries
H&H Bagels,Bagel Shop (NYC),Expense,Food & Dining,Bakery & Desserts
H&M,Fast Fashion Retailer,Expense,Shopping,Clothing & Apparel
H&M Home,Home Textiles,Expense,Shopping,Home & Garden
H&R Block,Tax Preparation Service,Expense,Financial Services,Banking Fees
H-E-B,Supermarket Chain,Expense,Food & Dining,Groceries
Habib's,Fast Food (Brazil),Expense,Food & Dining,Restaurants
Habit Burger Grill,Fast Casual Burger,Expense,Food & Dining,Fast Food
Habitat,Modern Home Furnishings (UK),Expense,Shopping,Home & Garden
Habitat for Humanity,Housing Charity,Expense,Donations & Gifts,Charity & Donations
HackerRank,Technical Assessment,Expense,Education,Online Learning
Hai Di Lao,Hot Pot Chain,Expense,Food & Dining,Restaurants
Haidilao,Hot Pot Chain,Expense,Food & Dining,Restaurants
Hainan Airlines,Airline (China),Expense,Travel,Airlines
Hair Cuttery,Hair Salon Chain,Expense,Health & Wellness,Beauty & Spa
Halal Guys,Halal Street Food,Expense,Food & Dining,Restaurants
Haldiram's,Indian Restaurant & Sweets,Expense,Food & Dining,Restaurants
Half Price Books,Used Book Retailer,Expense,Shopping,Books & Media
Halfords,Auto Parts & Cycling (UK),Expense,Transportation,Car Service & Parts
Hallmark,Greeting Cards & Gifts,Expense,Shopping,Home & Garden
Hampton Inn,Economy Hotel,Expense,Travel,Hotels & Lodging
Hanamaru Udon,Udon Chain (Japan),Expense,Food & Dining,Restaurants
Hand & Stone Massage,Massage & Facial Spa,Expense,Health & Wellness,Beauty & Spa
Handel's Ice Cream,Premium Ice Cream,Expense,Food & Dining,Ice Cream & Yogurt
Handy,Home Cleaning & Handyman,Expense,Housing & Utilities,Utilities
Handyman Connection,Handyman Service,Expense,Housing & Utilities,Utilities
Hanna Andersson,Children's Clothing,Expense,Shopping,Clothing & Apparel
Hannaford,Supermarket,Expense,Food & Dining,Groceries
Hans im Glück,Fast Casual Burger (Germany),Expense,Food & Dining,Fast Food
Hape,Wooden Toys,Expense,Kids & Family,Toys & Activities
Happy Family,Organic Baby Food,Expense,Kids & Family,Toys & Activities
Happy Lemon,Bubble Tea Chain,Expense,Food & Dining,Coffee & Tea
Harbor Freight,Discount Tool Store,Expense,Shopping,Home & Garden
Hardee's,Fast Food Restaurant,Expense,Food & Dining,Fast Food
Haribo,Gummy Candy Maker,Expense,Food & Dining,Snacks & Drinks
Harkins Theatres,Movie Theater,Expense,Entertainment,Movies & Events
Harman Kardon,Audio Equipment,Expense,Shopping,Electronics
Harris Teeter,Supermarket,Expense,Food & Dining,Groceries
Harrods,Luxury Department Store (UK),Expense,Shopping,General Retail
Harrods Food Hall,Luxury Food Hall (London),Expense,Food & Dining,Groceries
Harry's,Men's Grooming DTC,Expense,Health & Wellness,Beauty & Spa
Harvester,Family Restaurant (UK),Expense,Food & Dining,Restaurants
Harvey Nichols,Luxury Department Store (UK),Expense,Shopping,General Retail
Harvey Norman,Electronics (AU),Expense,Shopping,Electronics
Harvey's,Fast Food (Canada),Expense,Food & Dining,Restaurants
Hash House A Go Go,Breakfast,Expense,Food & Dining,Restaurants
Hatch,Baby Sound Machine & Light,Expense,Kids & Family,Toys & Activities
Hatch Baby,Baby Sound Machine,Expense,Kids & Family,Toys & Activities
Haverty's,Furniture Retailer,Expense,Shopping,Home & Garden
Havertys,Furniture Retailer,Expense,Shopping,Home & Garden
Hawaiian Airlines,Airline,Expense,Travel,Airlines
HBO Max,Video Streaming Service,Expense,Entertainment,Streaming Video
Headspace,Meditation App,Expense,Health & Wellness,Health Products
Healthy Paws,Pet Insurance,Expense,Shopping,Pet Supplies
Heap Analytics,Product Analytics,Expense,Technology,Software & SaaS
Heart Coffee,Specialty Coffee,Expense,Food & Dining,Coffee & Tea
Heart Coffee Roasters,Specialty Coffee (Portland),Expense,Food & Dining,Coffee & Tea
Heetch,Ride-Hailing (France/Africa),Expense,Transportation,Rideshare
Height,Project Management,Expense,Technology,Software & SaaS
Heinen's,Premium Grocery (OH),Expense,Food & Dining,Groceries
Heinen's Fine Foods,Premium Grocery (OH),Expense,Food & Dining,Groceries
Hello Bello,Diapers & Baby Products,Expense,Kids & Family,Toys & Activities
HelloBike,Bike Share (China),Expense,Transportation,Rideshare
HelloFresh,Meal Kit Delivery,Expense,Food & Dining,Restaurants
Helly Hansen,Outdoor (Norway),Expense,Shopping,Clothing & Apparel
Hema,Variety Store (Netherlands),Expense,Shopping,General Retail
Hemköp,Supermarket Chain,Expense,Food & Dining,Groceries
Hepsiburada,E-Commerce (Turkey),Expense,Shopping,General Retail
Herbalife,Nutrition MLM,Expense,Health & Wellness,Health Products
Herfy,Fast Food (Saudi Arabia),Expense,Food & Dining,Restaurants
Herman Miller,Premium Office Furniture,Expense,Shopping,Home & Garden
Herman Miller Gaming,Ergonomic Gaming Chairs,Expense,Entertainment,Gaming
Hermès,Luxury Fashion House,Expense,Shopping,Clothing & Apparel
Hero Supermarket,Supermarket,Expense,Food & Dining,Groceries
Heroku,Cloud Platform,Expense,Technology,Software & SaaS
Hersheypark,Amusement Park,Expense,Entertainment,Amusement & Parks
Hertz,Car Rental,Expense,Travel,Hotels & Lodging
Hesburger,Fast Food Burger (Finland),Expense,Food & Dining,Fast Food
Heston Blumenthal,Fine Dining (UK),Expense,Food & Dining,Restaurants
Heytea,Cheese Tea Chain (China),Expense,Food & Dining,Coffee & Tea
Hi-Mart,Electronics (Korea),Expense,Shopping,Electronics
Hibbett Sports,Athletic Footwear & Apparel,Expense,Shopping,Sporting Goods
Hidakaya,Ramen & Chinese (Japan),Expense,Food & Dining,Restaurants
